Trial,Learner,Net,TP,FP,TN,FN
1,GREEDY,ds1,0,19,171,0
1,CASGMM,ds1,0,20,170,0
1,CASMOD,ds1,0,15,175,0
1,CASJNK,ds1,0,16,174,0
2,GREEDY,ds1,0,20,170,0
2,CASGMM,ds1,0,16,174,0
2,CASMOD,ds1,0,15,175,0
2,CASJNK,ds1,0,15,175,0
3,GREEDY,ds1,0,17,173,0
3,CASGMM,ds1,0,19,171,0
3,CASMOD,ds1,0,16,174,0
3,CASJNK,ds1,0,15,175,0
4,GREEDY,ds1,0,17,173,0
4,CASGMM,ds1,0,13,177,0
4,CASMOD,ds1,0,14,176,0
4,CASJNK,ds1,0,16,174,0
5,GREEDY,ds1,0,15,175,0
5,CASGMM,ds1,0,16,174,0
5,CASMOD,ds1,0,16,174,0
5,CASJNK,ds1,0,13,177,0
1,GREEDY,ds2,0,16,174,0
1,CASGMM,ds2,8,5,169,8
1,CASMOD,ds2,10,4,170,6
1,CASJNK,ds2,5,10,164,11
2,GREEDY,ds2,0,16,174,0
2,CASGMM,ds2,11,6,168,5
2,CASMOD,ds2,8,6,168,8
2,CASJNK,ds2,5,10,164,11
3,GREEDY,ds2,0,16,174,0
3,CASGMM,ds2,5,11,163,11
3,CASMOD,ds2,5,7,167,11
3,CASJNK,ds2,5,13,161,11
4,GREEDY,ds2,0,18,172,0
4,CASGMM,ds2,6,6,168,10
4,CASMOD,ds2,3,8,166,13
4,CASJNK,ds2,6,10,164,10
5,GREEDY,ds2,0,15,175,0
5,CASGMM,ds2,5,8,166,11
5,CASMOD,ds2,6,8,166,10
5,CASJNK,ds2,4,10,164,12
1,GREEDY,ds4,1,19,601,45
1,CASGMM,ds4,5,15,605,41
1,CASMOD,ds4,3,14,606,43
1,CASJNK,ds4,6,13,607,40
2,GREEDY,ds4,2,18,602,44
2,CASGMM,ds4,6,14,606,40
2,CASMOD,ds4,5,13,607,41
2,CASJNK,ds4,3,12,608,43
3,GREEDY,ds4,0,17,603,46
3,CASGMM,ds4,5,14,606,41
3,CASMOD,ds4,2,17,603,44
3,CASJNK,ds4,6,11,609,40
4,GREEDY,ds4,2,18,602,44
4,CASGMM,ds4,4,16,604,42
4,CASMOD,ds4,1,16,604,45
4,CASJNK,ds4,7,11,609,39
5,GREEDY,ds4,0,18,602,46
5,CASGMM,ds4,6,14,606,40
5,CASMOD,ds4,6,13,607,40
5,CASJNK,ds4,5,11,609,41
