Iteration,Score,Trial,Learner,Net
0,-5282.947461173909,1,GREEDY,ds1
1,-5282.50289356252,1,GREEDY,ds1
2,-5279.771421876688,1,GREEDY,ds1
3,-5278.622417001916,1,GREEDY,ds1
4,-5278.352777972716,1,GREEDY,ds1
5,-5276.822921233505,1,GREEDY,ds1
6,-5276.145156259368,1,GREEDY,ds1
7,-5275.409414312241,1,GREEDY,ds1
8,-5271.308123140038,1,GREEDY,ds1
9,-5270.179430462049,1,GREEDY,ds1
0,-5281.414823927814,1,CASGMM,ds1
1,-5281.413923873415,1,CASGMM,ds1
2,-5281.371150243109,1,CASGMM,ds1
3,-5281.320391286526,1,CASGMM,ds1
4,-5280.677485752361,1,CASGMM,ds1
5,-5277.573959205709,1,CASGMM,ds1
6,-5276.990813607547,1,CASGMM,ds1
7,-5273.899420260299,1,CASGMM,ds1
8,-5272.528152337664,1,CASGMM,ds1
9,-5270.019404877823,1,CASGMM,ds1
0,-5282.181334199542,1,CASMOD,ds1
1,-5280.864506368731,1,CASMOD,ds1
2,-5278.591693730109,1,CASMOD,ds1
3,-5275.206275510405,1,CASMOD,ds1
4,-5273.606793061572,1,CASMOD,ds1
5,-5269.301524010914,1,CASMOD,ds1
6,-5266.286148288858,1,CASMOD,ds1
7,-5265.87915676499,1,CASMOD,ds1
8,-5265.711879197808,1,CASMOD,ds1
9,-5262.519730486898,1,CASMOD,ds1
0,-5281.7003124958155,1,CASJNK,ds1
1,-5279.628205012988,1,CASJNK,ds1
2,-5278.255345285668,1,CASJNK,ds1
3,-5274.875488522576,1,CASJNK,ds1
4,-5272.435353154399,1,CASJNK,ds1
5,-5269.934489238594,1,CASJNK,ds1
6,-5265.71368288048,1,CASJNK,ds1
7,-5264.143042339899,1,CASJNK,ds1
8,-5260.518414995229,1,CASJNK,ds1
0,-5281.299093830491,2,GREEDY,ds1
1,-5280.577653143117,2,GREEDY,ds1
2,-5275.384924665238,2,GREEDY,ds1
3,-5268.557774066157,2,GREEDY,ds1
4,-5268.353392620889,2,GREEDY,ds1
5,-5268.034762158124,2,GREEDY,ds1
6,-5266.309902224749,2,GREEDY,ds1
7,-5263.666689243497,2,GREEDY,ds1
8,-5263.16249131528,2,GREEDY,ds1
