Trial,Learner,Net,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19
1,GREEDY,ds1,0.95,0.91,0.89,0.82,0.78,0.71,0.66,0.62,0.5,0.53,0.46,0.52,0.65,0.61,0.75,0.8,0.85,0.82,0.94,0.91
1,CASGMM,ds1,0.95,0.91,0.89,0.82,0.78,0.71,0.66,0.62,0.5,0.55,0.48,0.53,0.66,0.64,0.75,0.8,0.85,0.82,0.94,0.91
1,CASMOD,ds1,0.95,0.91,0.89,0.81,0.78,0.71,0.66,0.61,0.5,0.56,0.49,0.5,0.65,0.64,0.75,0.8,0.85,0.82,0.94,0.91
1,CASJNK,ds1,0.95,0.91,0.89,0.82,0.78,0.71,0.66,0.62,0.5,0.53,0.46,0.52,0.65,0.61,0.75,0.8,0.85,0.82,0.94,0.91
2,GREEDY,ds1,0.95,0.91,0.89,0.82,0.78,0.71,0.66,0.62,0.5,0.53,0.52,0.53,0.64,0.64,0.75,0.8,0.85,0.82,0.94,0.91
2,CASGMM,ds1,0.95,0.91,0.89,0.82,0.78,0.71,0.66,0.62,0.5,0.49,0.49,0.54,0.65,0.64,0.75,0.8,0.85,0.82,0.94,0.91
2,CASMOD,ds1,0.95,0.91,0.89,0.82,0.78,0.71,0.66,0.63,0.5,0.53,0.49,0.53,0.65,0.64,0.75,0.8,0.85,0.82,0.94,0.91
2,CASJNK,ds1,0.95,0.91,0.89,0.82,0.78,0.71,0.66,0.62,0.5,0.53,0.52,0.53,0.64,0.64,0.75,0.8,0.85,0.82,0.94,0.91
3,GREEDY,ds1,0.95,0.91,0.89,0.82,0.78,0.71,0.64,0.6,0.5,0.55,0.49,0.53,0.65,0.64,0.75,0.8,0.85,0.82,0.94,0.91
3,CASGMM,ds1,0.95,0.91,0.89,0.82,0.78,0.71,0.66,0.62,0.5,0.52,0.49,0.49,0.65,0.64,0.75,0.8,0.85,0.82,0.94,0.91
3,CASMOD,ds1,0.95,0.91,0.89,0.82,0.78,0.71,0.66,0.62,0.5,0.5,0.52,0.54,0.65,0.64,0.75,0.8,0.85,0.82,0.94,0.91
3,CASJNK,ds1,0.95,0.91,0.89,0.82,0.78,0.71,0.64,0.6,0.5,0.55,0.49,0.53,0.65,0.64,0.75,0.8,0.85,0.82,0.94,0.91
4,GREEDY,ds1,0.95,0.91,0.89,0.82,0.78,0.71,0.66,0.63,0.5,0.53,0.48,0.53,0.65,0.64,0.75,0.8,0.85,0.82,0.94,0.91
4,CASGMM,ds1,0.95,0.91,0.89,0.82,0.78,0.71,0.66,0.62,0.5,0.53,0.55,0.53,0.62,0.64,0.75,0.8,0.85,0.82,0.94,0.91
4,CASMOD,ds1,0.95,0.91,0.89,0.82,0.78,0.71,0.66,0.62,0.5,0.56,0.49,0.53,0.65,0.64,0.75,0.8,0.85,0.82,0.94,0.91
4,CASJNK,ds1,0.95,0.91,0.89,0.82,0.78,0.71,0.66,0.63,0.5,0.53,0.48,0.53,0.65,0.64,0.75,0.8,0.85,0.82,0.94,0.91
5,GREEDY,ds1,0.95,0.91,0.89,0.82,0.78,0.71,0.66,0.62,0.5,0.53,0.47,0.53,0.65,0.64,0.75,0.8,0.85,0.82,0.94,0.91
5,CASGMM,ds1,0.95,0.91,0.89,0.82,0.78,0.71,0.66,0.62,0.49,0.53,0.5,0.53,0.65,0.64,0.75,0.8,0.85,0.82,0.94,0.91
5,CASMOD,ds1,0.95,0.91,0.89,0.82,0.78,0.71,0.66,0.62,0.47,0.53,0.49,0.53,0.65,0.64,0.75,0.8,0.85,0.82,0.94,0.91
5,CASJNK,ds1,0.95,0.91,0.89,0.82,0.78,0.71,0.66,0.62,0.5,0.53,0.47,0.53,0.65,0.64,0.75,0.8,0.85,0.82,0.94,0.91
