Trial,Learner,Net,HISTORY,CVP,PCWP,HYPOVOLEMIA,LVEDVOLUME,LVFAILURE,STROKEVOLUME,ERRLOWOUTPUT,HRBP,HREKG,ERRCAUTER,HRSAT,INSUFFANESTH,ANAPHYLAXIS,TPR,EXPCO2,KINKEDTUBE,MINVOL,FIO2,PVSAT,SAO2,PAP,PULMEMBOLUS,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,CO,BP
1,GREEDY,ds4,0.93,0.7,0.59,0.8,0.73,0.94,0.8,0.97,0.77,0.88,0.99,0.81,0.9,0.99,0.45,0.81,0.99,0.83,0.96,0.98,0.83,0.87,0.99,0.88,0.92,0.57,0.89,0.97,0.88,0.78,0.82,0.86,0.81,0.88,0.98,0.74,0.55
1,CASGMM,ds4,0.93,0.7,0.72,0.78,0.78,0.97,0.8,0.98,0.97,0.71,0.9,0.88,0.91,0.99,0.45,0.81,0.99,0.81,0.96,0.99,0.93,0.87,0.99,0.88,0.9,0.52,0.89,0.91,0.79,0.79,0.7,0.84,0.71,0.94,0.81,0.66,0.65
1,CASMOD,ds4,0.93,0.7,0.59,0.78,0.66,0.94,0.8,0.97,0.77,0.71,0.89,0.71,0.91,0.99,0.45,0.83,0.99,0.78,0.96,0.75,0.76,0.86,0.99,0.88,0.9,0.48,0.9,0.91,0.78,0.79,0.7,0.7,0.84,0.88,0.81,0.64,0.58
1,CASJNK,ds4,0.93,0.7,0.59,0.8,0.73,0.94,0.8,0.97,0.77,0.88,0.99,0.81,0.9,0.99,0.45,0.81,0.99,0.83,0.96,0.98,0.83,0.87,0.99,0.88,0.92,0.57,0.89,0.97,0.88,0.78,0.82,0.86,0.81,0.88,0.98,0.74,0.55
2,GREEDY,ds4,0.93,0.7,0.59,0.78,0.66,0.94,0.8,0.97,0.94,0.98,0.99,0.98,0.91,0.99,0.59,0.81,0.99,0.66,0.96,0.83,0.89,0.87,0.99,0.88,0.92,0.48,0.89,0.91,0.79,0.77,0.88,0.78,0.67,0.88,0.81,0.67,0.74
2,CASGMM,ds4,0.96,0.7,0.87,0.97,0.88,0.94,0.83,0.97,0.95,0.81,0.99,0.71,0.91,0.99,0.45,0.81,0.99,0.83,0.96,0.94,0.94,0.87,0.99,0.88,0.9,0.57,0.89,0.94,0.86,0.69,0.7,0.63,0.77,0.88,0.98,0.64,0.55
2,CASMOD,ds4,0.93,0.7,0.93,0.78,0.93,0.94,0.8,0.97,0.87,0.88,0.9,0.71,0.9,0.99,0.45,0.81,0.99,0.82,0.96,0.93,0.76,0.87,0.99,0.88,0.9,0.54,0.89,0.91,0.79,0.86,0.7,0.87,0.87,0.87,0.99,0.83,0.53
2,CASJNK,ds4,0.93,0.7,0.59,0.78,0.66,0.94,0.8,0.97,0.94,0.98,0.99,0.98,0.91,0.99,0.59,0.81,0.99,0.66,0.96,0.83,0.89,0.87,0.99,0.88,0.92,0.48,0.89,0.91,0.79,0.77,0.88,0.78,0.67,0.88,0.81,0.67,0.74
3,GREEDY,ds4,0.93,0.7,0.59,0.78,0.66,0.94,0.88,0.97,0.77,0.71,0.99,0.92,0.91,0.99,0.45,0.87,0.99,0.83,0.96,0.94,0.94,0.87,0.99,0.88,0.91,0.48,0.89,0.91,0.82,0.89,0.7,0.63,0.71,0.92,0.81,0.75,0.65
3,CASGMM,ds4,0.96,0.73,0.65,0.78,0.66,0.94,0.8,0.97,0.95,0.71,0.9,0.71,0.91,0.99,0.57,0.82,0.99,0.88,0.96,0.91,0.89,0.87,0.99,0.88,0.9,0.5,0.99,0.97,0.97,0.99,0.87,0.88,0.85,0.88,0.97,0.64,0.55
3,CASMOD,ds4,0.96,0.7,0.59,0.97,0.92,0.94,0.83,0.97,0.87,0.71,0.9,0.71,0.91,0.99,0.45,0.81,0.99,0.68,0.96,0.76,0.91,0.87,0.99,0.88,0.9,0.52,0.89,0.91,0.84,0.89,0.88,0.63,0.71,0.94,0.81,0.77,0.64
3,CASJNK,ds4,0.93,0.7,0.59,0.78,0.66,0.94,0.88,0.97,0.77,0.71,0.99,0.92,0.91,0.99,0.45,0.87,0.99,0.83,0.96,0.94,0.94,0.87,0.99,0.88,0.91,0.48,0.89,0.91,0.82,0.89,0.7,0.63,0.71,0.92,0.81,0.75,0.65
4,GREEDY,ds4,0.93,0.7,0.59,0.97,0.88,0.94,0.83,0.98,0.92,0.83,0.99,0.93,0.91,0.99,0.45,0.81,0.99,0.67,0.96,0.91,0.76,0.87,0.99,0.89,0.9,0.52,0.89,0.91,0.84,0.92,0.9,0.9,0.71,0.94,0.81,0.81,0.53
4,CASGMM,ds4,0.93,0.7,0.81,0.93,0.66,0.94,0.8,0.97,0.89,0.98,0.9,0.98,0.91,0.99,0.45,0.87,0.99,0.83,0.96,0.92,0.76,0.87,0.99,0.88,0.9,0.51,0.89,0.91,0.79,0.69,0.88,0.88,0.71,0.9,0.99,0.68,0.57
4,CASMOD,ds4,0.96,0.74,0.7,0.78,0.67,0.94,0.83,0.97,0.94,0.71,0.9,0.88,0.91,0.99,0.45,0.81,0.99,0.67,0.96,0.84,0.76,0.87,0.99,0.88,0.9,0.5,0.89,0.95,0.77,0.78,0.7,0.63,0.71,0.88,0.81,0.64,0.58
4,CASJNK,ds4,0.93,0.7,0.59,0.97,0.88,0.94,0.83,0.98,0.92,0.83,0.99,0.93,0.91,0.99,0.45,0.81,0.99,0.67,0.96,0.91,0.76,0.87,0.99,0.89,0.9,0.52,0.89,0.91,0.84,0.92,0.9,0.9,0.71,0.94,0.81,0.81,0.53
5,GREEDY,ds4,0.97,0.7,0.59,0.78,0.66,0.97,0.74,0.97,0.94,0.87,0.9,0.88,0.91,0.99,0.45,0.81,0.99,0.85,0.96,0.98,0.76,0.87,0.99,0.95,0.92,0.52,0.89,0.92,0.79,0.78,0.9,0.86,0.72,0.94,0.81,0.64,0.53
5,CASGMM,ds4,0.97,0.86,0.65,0.78,0.86,0.97,0.87,0.97,0.77,0.71,0.9,0.89,0.91,0.99,0.45,0.82,0.99,0.81,0.96,0.98,0.95,0.87,0.99,0.88,0.9,0.52,0.89,0.91,0.85,0.89,0.7,0.87,0.83,0.88,0.99,0.74,0.58
5,CASMOD,ds4,0.93,0.7,0.59,0.78,0.65,0.94,0.88,0.98,0.98,0.81,0.9,0.71,0.91,0.99,0.45,0.81,0.99,0.67,0.96,0.8,0.76,0.87,0.99,0.88,0.9,0.52,0.89,0.91,0.79,0.69,0.7,0.63,0.71,0.92,0.98,0.74,0.55
5,CASJNK,ds4,0.97,0.7,0.59,0.78,0.66,0.97,0.74,0.97,0.94,0.87,0.9,0.88,0.91,0.99,0.45,0.81,0.99,0.85,0.96,0.98,0.76,0.87,0.99,0.95,0.92,0.52,0.89,0.92,0.79,0.78,0.9,0.86,0.72,0.94,0.81,0.64,0.53
